cell_id,time_step,gene_1_mRNA,gene_1_protein,gene_2_mRNA,gene_2_protein,replicate,clone_id
0,0,0,15158,3,35482,1,0
0,1,0,14937,2,36274,1,0
0,2,0,14723,4,37046,1,0
0,3,0,14490,4,38719,1,0
0,4,1,14483,4,40448,1,0
0,5,0,14505,3,41449,1,0
0,6,0,14303,3,42458,1,0
0,7,0,14087,3,43404,1,0
0,8,0,13905,3,44364,1,0
0,9,0,13676,4,45480,1,0
0,10,0,13467,4,47301,1,0
0,11,0,13271,5,48890,1,0
0,12,0,13089,5,50911,1,0
0,13,0,12861,5,53231,1,0
0,14,0,12647,5,55359,1,0
0,15,0,12451,5,57330,1,0
0,16,0,12258,4,59183,1,0
0,17,0,12088,2,59782,1,0
0,18,1,12413,2,60012,1,0
0,19,1,12781,2,60233,1,0
0,20,1,13461,0,60151,1,0
0,21,1,13815,0,59232,1,0
0,22,1,14166,0,58297,1,0
0,23,1,14476,1,57736,1,0
0,24,1,14826,1,57422,1,0
0,25,1,15156,1,57173,1,0
0,26,1,15447,1,56897,1,0
0,27,1,15764,1,56640,1,0
0,28,1,16082,1,56342,1,0
0,29,1,16371,1,56008,1,0
0,30,1,16670,1,55703,1,0
0,31,1,16982,1,55457,1,0
0,32,1,17286,1,55129,1,0
0,33,0,17258,1,54996,1,0
0,34,0,16987,2,55107,1,0
0,35,0,16753,2,55325,1,0
0,36,0,16496,2,55574,1,0
0,37,2,17107,2,55792,1,0
0,38,2,17976,2,55994,1,0
0,39,2,18840,2,56113,1,0
0,40,4,19681,2,56350,1,0
0,41,2,21098,3,56882,1,0
0,42,2,21885,4,57972,1,0
0,43,2,22728,5,59976,1,0
0,44,1,23394,4,61420,1,0
0,45,3,24621,3,62523,1,0
0,46,3,25871,2,63007,1,0
0,47,3,27155,1,62996,1,0
0,48,2,27949,1,62572,1,0
1,0,4,37970,4,78710,1,1
1,1,3,39584,4,79763,1,1
1,2,2,40232,4,80864,1,1
1,3,2,40690,8,82571,1,1
1,4,2,41219,8,85758,1,1
1,5,1,41479,9,89407,1,1
1,6,0,41007,9,92657,1,1
1,7,0,40353,7,95671,1,1
1,8,0,39698,7,98056,1,1
1,9,0,39089,8,100805,1,1
1,10,0,38467,6,103092,1,1
1,11,0,37858,5,104636,1,1
1,12,0,37301,3,105193,1,1
1,13,0,36758,4,105793,1,1
1,14,0,36168,4,106426,1,1
1,15,0,35583,3,106813,1,1
1,16,0,35027,2,106619,1,1
1,17,0,34515,3,106487,1,1
1,18,1,34431,2,106240,1,1
1,19,1,34502,2,105740,1,1
1,20,1,34559,2,105204,1,1
1,21,1,34592,1,104612,1,1
1,22,0,34199,2,103943,1,1
1,23,0,33667,2,103496,1,1
1,24,0,33161,2,103073,1,1
1,25,0,32670,4,103317,1,1
1,26,1,32645,5,104652,1,1
1,27,1,32722,5,105877,1,1
1,28,1,32804,5,107025,1,1
1,29,1,32821,4,107993,1,1
1,30,1,32836,2,107948,1,1
1,31,3,33767,3,108084,1,1
1,32,4,35035,2,108039,1,1
1,33,4,36705,2,107427,1,1
1,34,3,38019,2,106944,1,1
1,35,2,38526,1,106268,1,1
1,36,2,39021,1,105173,1,1
1,37,4,40268,1,104154,1,1
1,38,3,41726,3,103910,1,1
1,39,2,42306,4,104148,1,1
1,40,2,42805,5,106005,1,1
1,41,2,43306,4,106822,1,1
1,42,1,43187,4,107480,1,1
1,43,1,43093,4,108046,1,1
1,44,1,42975,3,108555,1,1
1,45,1,42894,4,108665,1,1
1,46,1,42769,4,109242,1,1
1,47,1,42734,3,109572,1,1
1,48,1,42580,3,109621,1,1
2,0,0,9024,0,35292,1,2
2,1,0,8888,0,34768,1,2
2,2,0,8760,0,34276,1,2
2,3,0,8624,0,33735,1,2
2,4,0,8491,0,33217,1,2
2,5,0,8364,0,32706,1,2
2,6,0,8221,0,32211,1,2
2,7,0,8093,2,32644,1,2
2,8,0,7961,2,33518,1,2
2,9,0,7831,2,34100,1,2
2,10,0,7716,2,34687,1,2
2,11,1,7881,2,35250,1,2
2,12,1,8329,2,35791,1,2
2,13,1,8779,2,36340,1,2
2,14,1,9199,2,36915,1,2
2,15,1,9591,2,37463,1,2
2,16,2,10117,2,38057,1,2
2,17,1,10986,3,38190,1,2
2,18,0,11007,4,39587,1,2
2,19,0,10841,3,40961,1,2
2,20,0,10687,3,41989,1,2
2,21,0,10504,2,42652,1,2
2,22,0,10338,1,42822,1,2
2,23,0,10179,1,42712,1,2
2,24,0,10036,1,42572,1,2
2,25,0,9903,1,42488,1,2
2,26,0,9768,2,42493,1,2
2,27,0,9628,2,42663,1,2
2,28,0,9463,2,43171,1,2
2,29,0,9321,2,43584,1,2
2,30,0,9199,2,44056,1,2
2,31,0,9063,1,44352,1,2
2,32,0,8927,1,44236,1,2
2,33,0,8791,1,44099,1,2
2,34,0,8655,2,44222,1,2
2,35,0,8513,2,44575,1,2
2,36,0,8379,2,45072,1,2
2,37,0,8246,2,45492,1,2
2,38,0,8127,1,45753,1,2
2,39,0,8003,4,46893,1,2
2,40,1,8409,2,47377,1,2
2,41,1,8846,1,47211,1,2
2,42,1,9291,1,47025,1,2
2,43,1,9691,1,46800,1,2
2,44,1,10101,1,46651,1,2
2,45,1,10486,1,46611,1,2
2,46,1,10865,0,46146,1,2
2,47,1,11247,0,45440,1,2
2,48,1,11656,0,44690,1,2
3,0,4,36123,3,35129,1,3
3,1,4,37803,3,36314,1,3
3,2,4,39530,3,37372,1,3
3,3,3,41085,5,38810,1,3
3,4,4,42629,6,41154,1,3
3,5,5,44751,8,44292,1,3
3,6,5,46834,6,47531,1,3
3,7,4,48528,6,50098,1,3
3,8,3,49934,6,52627,1,3
3,9,3,50809,7,55434,1,3
3,10,3,51716,7,58128,1,3
3,11,2,52167,7,60974,1,3
3,12,2,52510,7,63993,1,3
3,13,2,52872,6,66622,1,3
3,14,3,53354,9,69467,1,3
3,15,1,53632,8,72913,1,3
3,16,1,53378,9,76805,1,3
3,17,1,53192,9,80258,1,3
3,18,1,52895,10,84512,1,3
3,19,3,53689,10,88697,1,3
3,20,2,54296,10,92853,1,3
3,21,3,55011,9,97147,1,3
3,22,2,55581,9,100626,1,3
3,23,2,56006,9,104024,1,3
3,24,3,56543,9,107376,1,3
3,25,3,57352,10,111584,1,3
3,26,3,58155,8,114926,1,3
3,27,3,58993,11,118601,1,3
3,28,4,59657,11,123180,1,3
3,29,3,60567,9,126439,1,3
3,30,3,61282,7,129199,1,3
3,31,3,62000,5,130735,1,3
3,32,2,62628,3,131178,1,3
3,33,1,62561,5,131873,1,3
3,34,0,61732,5,132704,1,3
3,35,0,60785,5,133572,1,3
3,36,0,59841,6,134686,1,3
3,37,0,58915,5,135891,1,3
3,38,0,57990,3,135773,1,3
3,39,0,57107,5,135847,1,3
3,40,0,56295,6,136823,1,3
3,41,1,55859,5,137660,1,3
3,42,1,55618,6,138513,1,3
3,43,1,55326,5,139111,1,3
3,44,1,55033,3,139038,1,3
3,45,1,54770,5,139085,1,3
3,46,1,54444,5,139692,1,3
3,47,1,54187,3,139966,1,3
3,48,1,53942,3,139574,1,3
4,0,0,15527,1,17383,1,4
4,1,0,15271,1,17664,1,4
4,2,0,15039,2,18159,1,4
4,3,0,14828,3,19239,1,4
4,4,1,14630,3,20576,1,4
4,5,0,14433,3,21953,1,4
4,6,0,14230,3,23351,1,4
4,7,0,14044,3,24362,1,4
4,8,0,13812,4,26102,1,4
4,9,0,13623,4,27646,1,4
4,10,0,13425,4,29430,1,4
4,11,0,13233,5,31980,1,4
4,12,0,12999,5,34314,1,4
4,13,0,12808,4,36360,1,4
4,14,0,12611,3,37623,1,4
4,15,0,12401,4,38711,1,4
4,16,0,12185,1,39166,1,4
4,17,0,12003,1,39128,1,4
4,18,0,11832,1,39105,1,4
4,19,0,11656,1,39514,1,4
4,20,2,11570,1,39495,1,4
4,21,1,12186,1,39460,1,4
4,22,1,12550,1,39468,1,4
4,23,1,13022,1,39395,1,4
4,24,0,12833,1,39341,1,4
4,25,0,12645,2,39537,1,4
4,26,0,12443,1,39779,1,4
